"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2005","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2005","Belgium","Flight","Commercial passenger air flights","Total","Total transport","217,616",""
"2005","Czechia","Flight","Commercial passenger air flights","Total","Total transport","156,956",""
"2005","Denmark","Flight","Commercial passenger air flights","Total","Total transport","301,401",""
"2005","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,616,746",""
"2005","Estonia","Flight","Commercial passenger air flights","Total","Total transport","24,344",""
"2005","Ireland","Flight","Commercial passenger air flights","Total","Total transport","224,577",""
"2005","Greece","Flight","Commercial passenger air flights","Total","Total transport","296,987",""
"2005","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,272,290",""
"2005","France","Flight","Commercial passenger air flights","Total","Total transport","1,336,730",""
"2005","Italy","Flight","Commercial passenger air flights","Total","Total transport","985,423",""
"2005","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","59,720",""
"2005","Latvia","Flight","Commercial passenger air flights","Total","Total transport","30,343",""
"2005","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","31,023",""
"2005","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","39,256",""
"2005","Hungary","Flight","Commercial passenger air flights","Total","Total transport","109,640",""
"2005","Malta","Flight","Commercial passenger air flights","Total","Total transport","28,737",""
"2005","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","425,681",""
"2005","Austria","Flight","Commercial passenger air flights","Total","Total transport","280,643",""
"2005","Poland","Flight","Commercial passenger air flights","Total","Total transport","123,492",""
"2005","Portugal","Flight","Commercial passenger air flights","Total","Total transport","217,501",""
"2005","Romania","Flight","Commercial passenger air flights","Total","Total transport","72,673",""
"2005","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","25,870",""
"2005","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","26,420",""
"2005","Finland","Flight","Commercial passenger air flights","Total","Total transport","179,171",""
"2005","Sweden","Flight","Commercial passenger air flights","Total","Total transport","316,792",""
"2005","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,854,589",""
"2005","Iceland","Flight","Commercial passenger air flights","Total","Total transport","14,273",""
"2005","Norway","Flight","Commercial passenger air flights","Total","Total transport","382,029",""
"2005","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","382,382",""
"2006","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2006","Belgium","Flight","Commercial passenger air flights","Total","Total transport","245,464",""
"2006","Czechia","Flight","Commercial passenger air flights","Total","Total transport","164,921",""
"2006","Denmark","Flight","Commercial passenger air flights","Total","Total transport","290,614",""
"2006","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,669,783",""
"2006","Estonia","Flight","Commercial passenger air flights","Total","Total transport","24,730",""
"2006","Ireland","Flight","Commercial passenger air flights","Total","Total transport","236,819",""
"2006","Greece","Flight","Commercial passenger air flights","Total","Total transport","316,834",""
"2006","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,318,612",""
"2006","France","Flight","Commercial passenger air flights","Total","Total transport","1,384,874",""
"2006","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,039,531",""
"2006","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","64,073",""
"2006","Latvia","Flight","Commercial passenger air flights","Total","Total transport","35,532",""
"2006","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","32,011",""
"2006","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","39,890",""
"2006","Hungary","Flight","Commercial passenger air flights","Total","Total transport","110,626",""
"2006","Malta","Flight","Commercial passenger air flights","Total","Total transport","26,636",""
"2006","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","449,566",""
"2006","Austria","Flight","Commercial passenger air flights","Total","Total transport","280,054",""
"2006","Poland","Flight","Commercial passenger air flights","Total","Total transport","220,134",""
"2006","Portugal","Flight","Commercial passenger air flights","Total","Total transport","230,553",""
"2006","Romania","Flight","Commercial passenger air flights","Total","Total transport","90,753",""
"2006","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","26,494",""
"2006","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","27,507",""
"2006","Finland","Flight","Commercial passenger air flights","Total","Total transport","184,330",""
"2006","Sweden","Flight","Commercial passenger air flights","Total","Total transport","324,747",""
"2006","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,904,068",""
"2006","Iceland","Flight","Commercial passenger air flights","Total","Total transport","15,904",""
"2006","Norway","Flight","Commercial passenger air flights","Total","Total transport","411,513",""
"2006","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","374,954",""
"2007","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport",":",""
"2007","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","8,477,504",""
"2007","Belgium","Flight","Commercial passenger air flights","Total","Total transport","263,932",""
"2007","Czechia","Flight","Commercial passenger air flights","Total","Total transport","173,739",""
"2007","Denmark","Flight","Commercial passenger air flights","Total","Total transport","292,200",""
"2007","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,730,992",""
"2007","Estonia","Flight","Commercial passenger air flights","Total","Total transport","28,971",""
"2007","Ireland","Flight","Commercial passenger air flights","Total","Total transport","252,431",""
"2007","Greece","Flight","Commercial passenger air flights","Total","Total transport","335,339",""
"2007","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,440,240",""
"2007","France","Flight","Commercial passenger air flights","Total","Total transport","1,428,532",""
"2007","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,138,690",""
