"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2005","European Union - 28 countries","Passenger","Passengers on board","Total","Total transport",":",""
"2005","European Union - 28 countries","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2005","European Union - 28 countries","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2005","European Union - 28 countries","Passenger","Passengers carried","Total","Total transport",":",""
"2005","European Union - 28 countries","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2005","European Union - 28 countries","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers on board","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers carried","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2005","European Union - 27 countries (2007-2013)","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2005","Belgium","Passenger","Passengers on board","Total","Total transport","17,916,905",""
"2005","Belgium","Passenger","Passengers on board (arrivals)","Total","Total transport","8,928,968",""
"2005","Belgium","Passenger","Passengers on board (departures)","Total","Total transport","8,988,257",""
"2005","Belgium","Passenger","Passengers carried","Total","Total transport","17,813,943",""
"2005","Belgium","Passenger","Passengers carried (arrival)","Total","Total transport","8,880,291",""
"2005","Belgium","Passenger","Passengers carried (departures)","Total","Total transport","8,933,652",""
"2005","Czechia","Passenger","Passengers on board","Total","Total transport","11,366,681",""
"2005","Czechia","Passenger","Passengers on board (arrivals)","Total","Total transport","5,683,244",""
"2005","Czechia","Passenger","Passengers on board (departures)","Total","Total transport","5,683,437",""
"2005","Czechia","Passenger","Passengers carried","Total","Total transport","11,265,764",""
"2005","Czechia","Passenger","Passengers carried (arrival)","Total","Total transport","5,632,796",""
"2005","Czechia","Passenger","Passengers carried (departures)","Total","Total transport","5,632,968",""
"2005","Denmark","Passenger","Passengers on board","Total","Total transport","22,331,856",""
"2005","Denmark","Passenger","Passengers on board (arrivals)","Total","Total transport","11,867,057",""
"2005","Denmark","Passenger","Passengers on board (departures)","Total","Total transport","11,942,433",""
"2005","Denmark","Passenger","Passengers carried","Total","Total transport","22,173,770",""
"2005","Denmark","Passenger","Passengers carried (arrival)","Total","Total transport","11,776,218",""
"2005","Denmark","Passenger","Passengers carried (departures)","Total","Total transport","11,846,648",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board","Total","Total transport","148,128,069",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (arrivals)","Total","Total transport","85,532,044",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (departures)","Total","Total transport","85,196,021",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried","Total","Total transport","146,102,479",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (arrival)","Total","Total transport","83,898,311",""
"2005","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (departures)","Total","Total transport","83,980,242",""
"2005","Estonia","Passenger","Passengers on board","Total","Total transport","1,393,500",""
"2005","Estonia","Passenger","Passengers on board (arrivals)","Total","Total transport","683,679",""
"2005","Estonia","Passenger","Passengers on board (departures)","Total","Total transport","709,821",""
"2005","Estonia","Passenger","Passengers carried","Total","Total transport","1,393,105",""
"2005","Estonia","Passenger","Passengers carried (arrival)","Total","Total transport","683,284",""
"2005","Estonia","Passenger","Passengers carried (departures)","Total","Total transport","709,821",""
"2005","Ireland","Passenger","Passengers on board","Total","Total transport","24,701,838",""
"2005","Ireland","Passenger","Passengers on board (arrivals)","Total","Total transport","12,836,627",""
"2005","Ireland","Passenger","Passengers on board (departures)","Total","Total transport","12,851,721",""
"2005","Ireland","Passenger","Passengers carried","Total","Total transport","24,254,298",""
"2005","Ireland","Passenger","Passengers carried (arrival)","Total","Total transport","12,396,283",""
"2005","Ireland","Passenger","Passengers carried (departures)","Total","Total transport","12,416,872",""
"2005","Greece","Passenger","Passengers on board","Total","Total transport","30,792,208",""
"2005","Greece","Passenger","Passengers on board (arrivals)","Total","Total transport","18,116,097",""
"2005","Greece","Passenger","Passengers on board (departures)","Total","Total transport","18,290,994",""
"2005","Greece","Passenger","Passengers carried","Total","Total transport","30,798,527",""
"2005","Greece","Passenger","Passengers carried (arrival)","Total","Total transport","18,115,974",""
"2005","Greece","Passenger","Passengers carried (departures)","Total","Total transport","18,291,117",""
"2005","Spain","Passenger","Passengers on board","Total","Total transport","140,867,110",""
"2005","Spain","Passenger","Passengers on board (arrivals)","Total","Total transport","89,388,035",""
"2005","Spain","Passenger","Passengers on board (departures)","Total","Total transport","89,850,213",""
"2005","Spain","Passenger","Passengers carried","Total","Total transport","143,679,871",""
"2005","Spain","Passenger","Passengers carried (arrival)","Total","Total transport","91,178,382",""
"2005","Spain","Passenger","Passengers carried (departures)","Total","Total transport","90,996,183",""
"2005","France","Passenger","Passengers on board","Total","Total transport","107,955,384",""
"2005","France","Passenger","Passengers on board (arrivals)","Total","Total transport","67,169,715",""
"2005","France","Passenger","Passengers on board (departures)","Total","Total transport","67,217,470",""
"2005","France","Passenger","Passengers carried","Total","Total transport","107,964,706",""
"2005","France","Passenger","Passengers carried (arrival)","Total","Total transport","67,169,715",""
"2005","France","Passenger","Passengers carried (departures)","Total","Total transport","67,217,470",""
"2005","Italy","Passenger","Passengers on board","Total","Total transport","89,605,135",""
"2005","Italy","Passenger","Passengers on board (arrivals)","Total","Total transport","56,421,702",""
"2005","Italy","Passenger","Passengers on board (departures)","Total","Total transport","56,930,658",""
"2005","Italy","Passenger","Passengers carried","Total","Total transport","87,906,438",""
"2005","Italy","Passenger","Passengers carried (arrival)","Total","Total transport","55,455,874",""
"2005","Italy","Passenger","Passengers carried (departures)","Total","Total transport","55,897,991",""
"2005","Cyprus","Passenger","Passengers on board","Total","Total transport","7,082,456",""
"2005","Cyprus","Passenger","Passengers on board (arrivals)","Total","Total transport","3,586,012",""
"2005","Cyprus","Passenger","Passengers on board (departures)","Total","Total transport","3,584,765",""
"2005","Cyprus","Passenger","Passengers carried","Total","Total transport","6,782,521",""
"2005","Cyprus","Passenger","Passengers carried (arrival)","Total","Total transport","3,390,834",""
"2005","Cyprus","Passenger","Passengers carried (departures)","Total","Total transport","3,391,693",""
"2005","Latvia","Passenger","Passengers on board","Total","Total transport","1,889,619",""
"2005","Latvia","Passenger","Passengers on board (arrivals)","Total","Total transport","935,455",""
"2005","Latvia","Passenger","Passengers on board (departures)","Total","Total transport","954,215",""
"2005","Latvia","Passenger","Passengers carried","Total","Total transport","1,872,040",""
"2005","Latvia","Passenger","Passengers carried (arrival)","Total","Total transport","935,455",""
"2005","Latvia","Passenger","Passengers carried (departures)","Total","Total transport","936,633",""
"2005","Lithuania","Passenger","Passengers on board","Total","Total transport","1,450,180",""
"2005","Lithuania","Passenger","Passengers on board (arrivals)","Total","Total transport","729,351",""
"2005","Lithuania","Passenger","Passengers on board (departures)","Total","Total transport","738,628",""
"2005","Lithuania","Passenger","Passengers carried","Total","Total transport","1,434,241",""
"2005","Lithuania","Passenger","Passengers carried (arrival)","Total","Total transport","713,694",""
"2005","Lithuania","Passenger","Passengers carried (departures)","Total","Total transport","722,969",""
"2005","Luxembourg","Passenger","Passengers on board","Total","Total transport","1,538,152",""
"2005","Luxembourg","Passenger","Passengers on board (arrivals)","Total","Total transport","765,088",""
"2005","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","773,064",""
"2005","Luxembourg","Passenger","Passengers carried","Total","Total transport","1,538,152",""
"2005","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","765,088",""
"2005","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","773,064",""
