slot,flight,eta,gdp_schedule,airline
0,OA3 5896D,736,736,OA3
1,HUB 8384,736,738,HUB
2,Empty,741,741,Empty
3,LC2 2213,746,746,LC2
4,Empty,747,747,Empty
5,HUB 9757,751,751,HUB
6,LC1 311,751,753,LC1
7,HUB 6068,756,756,HUB
8,HUB 5701,756,759,HUB
9,HUB 6612,756,762,HUB
10,HUB 5229,758,765,HUB
11,LC2 6426,761,768,LC2
12,HUB 1988,766,771,HUB
13,HUB 4325,771,774,HUB
14,LC1 2612,771,777,LC1
15,OA2 320D,769,780,OA2
16,HUB 3422,776,783,HUB
17,HUB 8106,776,786,HUB
18,HUB 9359,782,789,HUB
19,HUB 9293,783,792,HUB
20,OA8 6731,785,795,OA8
21,HUB 5126,786,798,HUB
22,LC1 4740,786,801,LC1
23,HUB 9649,787,804,HUB
24,OA1 5626,796,807,OA1
25,HUB 9173,797,810,HUB
26,HUB 9423,798,813,HUB
27,HUB 5366,799,816,HUB
28,OA5 727D,786,819,OA5
29,HUB 4009,799,822,HUB
30,HUB 8488,801,825,HUB
31,HUB 4025,802,828,HUB
32,HUB 1723,806,831,HUB
33,HUB 5084,807,834,HUB
34,HUB 4624,808,837,HUB
35,HUB 1654,808,840,HUB
36,OA8 4205,813,843,OA8
37,HUB 9873,814,846,HUB
38,HUB 3784,818,849,HUB
39,LC2 2413,819,852,LC2
40,HUB 5912,826,855,HUB
41,LC1 1592,826,858,LC1
42,HUB 1746,826,861,HUB
43,LC2 2315,826,864,LC2
44,LC1 6825,827,867,LC1
45,HUB 6434,827,870,HUB
46,OA1 318,827,873,OA1
47,HUB 4321,828,876,HUB
48,HUB 761,828,879,HUB
49,HUB 6242,831,882,HUB
50,HUB 8150,831,885,HUB
51,LC2 2119,834,888,LC2
52,HUB 591,835,891,HUB
53,HUB 5618,840,894,HUB
54,LC2 8387,842,897,LC2
55,OA5 108,866,900,OA5
56,OA8 8611,844,903,OA8
57,LC2 5206,844,906,LC2
58,LC1 7103,846,909,LC1
59,OA3 2151,850,912,OA3
60,OA8 8667,851,915,OA8
61,LC1 1105,856,918,LC1
62,HUB 3749,864,921,HUB
63,LC2 2373,864,924,LC2
64,LC2 532,866,927,LC2
65,OA1 192,876,930,OA1
66,OA1 1714,881,933,OA1
67,OA6 7277,896,936,OA6
68,HUB 3535,896,939,HUB
69,HUB 8114,906,942,HUB
70,LC2 6219,906,945,LC2
71,OA8 356,908,948,OA8
72,HUB 6065,909,951,HUB
73,OA6 1107,916,954,OA6
74,HUB 4033,916,957,HUB
75,HUB 8308,919,960,HUB
76,OA1 414,931,963,OA1
77,HUB 6072,934,966,HUB
78,HUB 5723,941,969,HUB
79,HUB 8639,942,972,HUB
80,HUB 5622,946,975,HUB
81,LC1 1844,948,978,LC1
82,OA1 824,952,981,OA1
83,LC2 1052,956,984,LC2
84,HUB 8374,956,987,HUB
85,LC2 9998,957,990,LC2
86,HUB 8498,963,993,HUB
87,HUB 8214,966,996,HUB
88,OA4 8655,966,999,OA4
89,OA2 101D,981,1002,OA2
90,HUB 8635,975,1005,HUB
91,HUB 1729,975,1008,HUB
92,HUB 5815,981,1011,HUB
93,OA6 955,993,1014,OA6
94,OA6 2033,1006,1017,OA6
95,HUB 771,1008,1020,HUB
96,OA5 680D,996,1021,OA5
97,OA8 8223,1011,1022,OA8
