flight,eta,cta,ucta cfl,delay udpp
OA3 5896D,12:16:00,12:15:00,12:15:00,0
HUB 8384,12:16:00,12:18:00,12:18:00,2
Empty,12:21:00,12:21:00,12:21:00,0
LC2 2213,12:26:00,12:24:00,12:24:00,0
Empty,12:27:00,12:27:00,12:27:00,0
HUB 9757,12:31:00,12:30:00,12:30:00,0
LC1 311,12:31:00,12:33:00,12:33:00,2
HUB 6068,12:36:00,12:36:00,12:36:00,0
HUB 5701,12:36:00,12:39:00,12:39:00,0
HUB 6612,12:36:00,12:42:00,12:42:00,6
HUB 5229,12:38:00,12:45:00,12:45:00,7
LC2 6426,12:41:00,12:48:00,12:48:00,7
HUB 1988,12:46:00,12:51:00,12:51:00,5
HUB 4325,12:51:00,12:57:00,12:54:00,3
LC1 2612,12:51:00,13:00:00,12:57:00,6
OA2 320D,12:49:00,12:54:00,13:00:00,11
HUB 3422,12:56:00,13:03:00,13:03:00,7
HUB 8106,12:56:00,13:06:00,13:06:00,10
HUB 9359,13:02:00,13:09:00,13:09:00,7
HUB 9293,13:03:00,13:12:00,13:12:00,9
OA8 6731,13:05:00,13:15:00,13:15:00,10
HUB 5126,13:06:00,13:21:00,13:18:00,12
LC1 4740,13:06:00,13:24:00,13:21:00,15
HUB 9649,13:07:00,13:27:00,13:24:00,17
OA1 5626,13:16:00,13:30:00,13:27:00,11
HUB 9173,13:17:00,13:33:00,13:30:00,13
HUB 9423,13:18:00,13:36:00,13:33:00,15
HUB 5366,13:19:00,13:39:00,13:36:00,17
OA5 727D,13:06:00,13:18:00,13:39:00,33
HUB 4009,13:19:00,13:42:00,13:42:00,23
HUB 8488,13:21:00,13:45:00,13:45:00,24
HUB 4025,13:22:00,13:48:00,13:48:00,26
HUB 1723,13:26:00,13:51:00,13:51:00,25
HUB 5084,13:27:00,13:54:00,13:54:00,27
HUB 4624,13:28:00,13:57:00,13:57:00,29
HUB 1654,13:28:00,14:00:00,14:00:00,32
OA8 4205,13:33:00,14:03:00,14:03:00,30
HUB 9873,13:34:00,14:06:00,14:06:00,32
HUB 3784,13:38:00,14:09:00,14:09:00,31
LC2 2413,13:39:00,14:12:00,14:12:00,33
HUB 5912,13:46:00,14:15:00,14:15:00,29
LC1 1592,13:46:00,14:18:00,14:18:00,32
HUB 1746,13:46:00,14:21:00,14:21:00,35
LC2 2315,13:46:00,14:24:00,14:24:00,38
LC1 6825,13:47:00,14:27:00,14:27:00,40
HUB 6434,13:47:00,14:30:00,14:30:00,43
OA1 318,13:47:00,14:33:00,14:33:00,46
HUB 4321,13:48:00,14:36:00,14:36:00,48
HUB 761,13:48:00,14:39:00,14:39:00,51
HUB 6242,13:51:00,14:42:00,14:42:00,51
HUB 8150,13:51:00,14:45:00,14:45:00,54
LC2 2119,13:54:00,14:48:00,14:48:00,54
HUB 591,13:55:00,14:51:00,14:51:00,56
HUB 5618,14:00:00,14:54:00,14:54:00,54
LC2 8387,14:02:00,14:57:00,14:57:00,55
OA5 108,14:26:00,15:27:00,15:00:00,34
OA8 8611,14:04:00,15:00:00,15:03:00,59
LC2 5206,14:04:00,15:03:00,15:06:00,62
LC1 7103,14:06:00,15:06:00,15:09:00,63
OA3 2151,14:10:00,15:09:00,15:12:00,62
OA8 8667,14:11:00,15:12:00,15:15:00,64
LC1 1105,14:16:00,15:15:00,15:18:00,62
HUB 3749,14:24:00,15:18:00,15:21:00,57
LC2 2373,14:24:00,15:21:00,15:24:00,60
LC2 532,14:26:00,15:24:00,15:27:00,61
OA1 192,14:36:00,15:30:00,15:30:00,54
OA1 1714,14:41:00,15:33:00,15:33:00,52
OA6 7277,14:56:00,15:36:00,15:36:00,40
HUB 3535,14:56:00,15:39:00,15:39:00,43
HUB 8114,15:06:00,15:42:00,15:42:00,36
LC2 6219,15:06:00,15:45:00,15:45:00,39
OA8 356,15:08:00,15:48:00,15:48:00,40
HUB 6065,15:09:00,15:51:00,15:51:00,42
OA6 1107,15:16:00,15:54:00,15:54:00,38
HUB 4033,15:16:00,15:57:00,15:57:00,41
HUB 8308,15:19:00,16:00:00,16:00:00,41
OA1 414,15:31:00,16:03:00,16:03:00,32
HUB 6072,15:34:00,16:06:00,16:06:00,32
HUB 5723,15:41:00,16:09:00,16:09:00,28
HUB 8639,15:42:00,16:12:00,16:12:00,30
HUB 5622,15:46:00,16:15:00,16:15:00,29
LC1 1844,15:48:00,16:18:00,16:18:00,30
OA1 824,15:52:00,16:21:00,16:21:00,29
LC2 1052,15:56:00,16:24:00,16:24:00,28
HUB 8374,15:56:00,16:27:00,16:27:00,31
LC2 9998,15:57:00,16:30:00,16:30:00,33
HUB 8498,16:03:00,16:33:00,16:33:00,30
HUB 8214,16:06:00,16:36:00,16:36:00,30
OA4 8655,16:06:00,16:39:00,16:39:00,33
OA2 101D,16:21:00,16:48:00,16:42:00,21
HUB 8635,16:15:00,16:42:00,16:45:00,30
HUB 1729,16:15:00,16:45:00,16:48:00,33
HUB 5815,16:21:00,16:51:00,16:51:00,30
OA6 955,16:33:00,16:54:00,16:54:00,21
OA6 2033,16:46:00,17:00:00,16:57:00,11
HUB 771,16:48:00,17:01:00,17:00:00,12
OA5 680D,16:36:00,16:57:00,17:01:00,25
OA8 8223,16:51:00,17:02:00,17:02:00,11
