run,airline,num flights,initial,max_reduction,udpp,model,offers
0,total,50,22927.214273037236,20504.393312190354,21729.281109207765,21641.090419910062,2
0,B,7,825.36393057499,824.8913552613619,825.36393057499,821.7223777376967,1
0,G,4,716.5417063007421,710.6791621142593,716.5417063007421,716.5417063007421,0
0,E,4,2311.7475462260127,2293.284895176602,2311.7475462260127,2261.044397337966,1
0,D,4,297.8216810035361,290.3496584650371,297.8216810035361,295.0280680020919,1
0,M,1,82.04930742963833,82.04930742963833,82.04930742963833,82.04930742963833,0
0,A,8,3065.140567953348,3063.2554343779966,2936.2372548353383,2905.184880264422,1
0,O,1,112.25112444685372,112.25112444685372,112.25112444685372,112.25112444685372,0
0,I,3,1628.9633581619873,1245.2256404587524,1628.9633581619873,1628.9633581619873,0
0,H,3,1328.2307390987073,1293.0775023740425,1065.5655922189521,1065.5655922189521,0
0,J,3,3630.116191532986,2591.349041463516,3630.116191532986,3630.116191532986,0
0,C,5,3773.646202852099,3415.5564886296497,3289.241002886174,3289.241002886174,0
0,F,4,3310.1839551304924,3228.0458629584205,2988.22445126471,2988.2244512647094,0
0,K,1,363.0270114073237,363.0270114073237,363.0270114073237,363.0270114073237,0
0,N,1,1073.7674212622728,582.9872979706523,1073.7674212622728,1073.7674212622728,0
0,L,1,408.3635296562464,408.3635296562464,408.3635296562464,408.3635296562464,0
2,total,50,24381.245354661693,20127.918233194607,22446.833063852773,22313.863761762514,1
2,G,4,1463.6858822923869,1445.5968520311096,1326.980018527097,1326.980018527097,0
2,J,2,41.23824834738561,41.23824834738561,41.23824834738561,41.23824834738561,0
2,C,6,3506.966267640915,2889.8761766182033,3270.954234306221,3202.8378210544643,1
2,F,4,3294.4485767488877,2934.4254084672352,2843.5710880831057,2843.571088083106,0
2,B,6,1220.597509614858,1217.2443556703347,1166.7736927700355,1101.9208039315274,1
2,A,7,3611.4244122805285,2519.662208016559,3105.4224384902154,3105.4224384902154,0
2,I,3,1936.2239808756237,626.934441570061,1936.2239808756237,1936.2239808756237,0
2,E,4,603.0966591123328,599.3571425524854,581.5511425540756,581.5511425540756,0
2,D,5,3366.5640719470357,3335.423150339847,2878.78395782031,2878.78395782031,0
2,O,1,30.905603051999403,30.905603051999403,30.905603051999403,30.905603051999403,0
2,L,1,144.99885453719907,144.99885453719907,116.07941540512613,116.07941540512613,0
2,M,1,376.56460381713697,376.56460381713697,376.56460381713697,376.56460381713697,0
